service_id,date,exception_type
O_0001_3,20250429,1
O_0001_1,20250429,2
O_0001_3,20250503,1
O_0001_2,20250503,2
O_0001_3,20250505,1
O_0001_1,20250505,2
O_0001_3,20250506,1
O_0001_1,20250506,2
O_0002_3,20250429,1
O_0002_1,20250429,2
O_0002_3,20250505,1
O_0002_1,20250505,2
O_0002_3,20250506,1
O_0002_1,20250506,2
O_0003_3,20250429,1
O_0003_1,20250429,2
O_0003_3,20250503,1
O_0003_2,20250503,2
O_0003_3,20250505,1
O_0003_1,20250505,2
O_0003_3,20250506,1
O_0003_1,20250506,2
O_0003_3,20250510,1
O_0003_2,20250510,2
O_0003_3,20250517,1
O_0003_2,20250517,2
O_0003_3,20250524,1
O_0003_2,20250524,2
O_0003_3,20250531,1
O_0003_2,20250531,2
O_0004_3,20250429,1
O_0004_1,20250429,2
O_0004_3,20250503,1
O_0004_2,20250503,2
O_0004_3,20250505,1
O_0004_1,20250505,2
O_0004_3,20250506,1
O_0004_1,20250506,2
O_0004_3,20250510,1
O_0004_2,20250510,2
O_0004_3,20250517,1
O_0004_2,20250517,2
O_0004_3,20250524,1
O_0004_2,20250524,2
O_0004_3,20250531,1
O_0004_2,20250531,2
O_0005_3,20250429,1
O_0005_1,20250429,2
O_0005_3,20250503,1
O_0005_2,20250503,2
O_0005_3,20250505,1
O_0005_1,20250505,2
O_0005_3,20250506,1
O_0005_1,20250506,2
O_0005_3,20250510,1
O_0005_2,20250510,2
O_0005_3,20250517,1
O_0005_2,20250517,2
O_0005_3,20250524,1
O_0005_2,20250524,2
O_0005_3,20250531,1
O_0005_2,20250531,2
