fare_id,price,currency_type,payment_method,transfers,agency_id,transfer_duration
1010101003032_0,0,JPY,0,0,1010101003032,
1000020132012_100,100,JPY,0,0,1000020132012,
1000020132276_100,100,JPY,0,0,1000020132276,
1000020132284_100,100,JPY,0,0,1000020132284,
1000020133051_100,100,JPY,0,0,1000020133051,
1010101003032_1000,1000,JPY,0,0,1010101003032,
1010101003032_1010,1010,JPY,0,0,1010101003032,
1010101003032_1020,1020,JPY,0,0,1010101003032,
1010101003032_1030,1030,JPY,0,0,1010101003032,
1010101003032_1040,1040,JPY,0,0,1010101003032,
1010101003032_1060,1060,JPY,0,0,1010101003032,
1010101003032_1070,1070,JPY,0,0,1010101003032,
1010101003032_1080,1080,JPY,0,0,1010101003032,
1010101003032_1120,1120,JPY,0,0,1010101003032,
1010101003032_1140,1140,JPY,0,0,1010101003032,
1010101003032_1200,1200,JPY,0,0,1010101003032,
1000020132012_170,170,JPY,0,0,1000020132012,
1000020132012_200,200,JPY,0,0,1000020132012,
1010101003032_200,200,JPY,0,0,1010101003032,
1010101003032_210,210,JPY,0,0,1010101003032,
1010101003032_220,220,JPY,0,0,1010101003032,
1010101003032_230,230,JPY,0,0,1010101003032,
1010101003032_240,240,JPY,0,0,1010101003032,
1010101003032_250,250,JPY,0,0,1010101003032,
1010101003032_260,260,JPY,0,0,1010101003032,
1010101003032_270,270,JPY,0,0,1010101003032,
1010101003032_280,280,JPY,0,0,1010101003032,
1010101003032_290,290,JPY,0,0,1010101003032,
1010101003032_300,300,JPY,0,0,1010101003032,
1010101003032_310,310,JPY,0,0,1010101003032,
1010101003032_320,320,JPY,0,0,1010101003032,
1010101003032_330,330,JPY,0,0,1010101003032,
1010101003032_340,340,JPY,0,0,1010101003032,
1010101003032_350,350,JPY,0,0,1010101003032,
1010101003032_360,360,JPY,0,0,1010101003032,
1010101003032_370,370,JPY,0,0,1010101003032,
1010101003032_380,380,JPY,0,0,1010101003032,
1010101003032_390,390,JPY,0,0,1010101003032,
1010101003032_400,400,JPY,0,0,1010101003032,
1010101003032_410,410,JPY,0,0,1010101003032,
1010101003032_420,420,JPY,0,0,1010101003032,
1010101003032_430,430,JPY,0,0,1010101003032,
1010101003032_440,440,JPY,0,0,1010101003032,
1010101003032_450,450,JPY,0,0,1010101003032,
1010101003032_460,460,JPY,0,0,1010101003032,
1010101003032_470,470,JPY,0,0,1010101003032,
1010101003032_480,480,JPY,0,0,1010101003032,
1010101003032_490,490,JPY,0,0,1010101003032,
1010101003032_500,500,JPY,0,0,1010101003032,
1010101003032_510,510,JPY,0,0,1010101003032,
1010101003032_520,520,JPY,0,0,1010101003032,
1010101003032_530,530,JPY,0,0,1010101003032,
1010101003032_540,540,JPY,0,0,1010101003032,
1010101003032_550,550,JPY,0,0,1010101003032,
1010101003032_560,560,JPY,0,0,1010101003032,
1010101003032_570,570,JPY,0,0,1010101003032,
1010101003032_580,580,JPY,0,0,1010101003032,
1010101003032_590,590,JPY,0,0,1010101003032,
1010101003032_600,600,JPY,0,0,1010101003032,
1010101003032_610,610,JPY,0,0,1010101003032,
1010101003032_620,620,JPY,0,0,1010101003032,
1010101003032_630,630,JPY,0,0,1010101003032,
1010101003032_640,640,JPY,0,0,1010101003032,
1010101003032_650,650,JPY,0,0,1010101003032,
1010101003032_660,660,JPY,0,0,1010101003032,
1010101003032_670,670,JPY,0,0,1010101003032,
1010101003032_680,680,JPY,0,0,1010101003032,
1010101003032_690,690,JPY,0,0,1010101003032,
1010101003032_700,700,JPY,0,0,1010101003032,
1010101003032_710,710,JPY,0,0,1010101003032,
1010101003032_720,720,JPY,0,0,1010101003032,
1010101003032_730,730,JPY,0,0,1010101003032,
1010101003032_740,740,JPY,0,0,1010101003032,
1010101003032_750,750,JPY,0,0,1010101003032,
1010101003032_760,760,JPY,0,0,1010101003032,
1010101003032_770,770,JPY,0,0,1010101003032,
1010101003032_780,780,JPY,0,0,1010101003032,
1010101003032_790,790,JPY,0,0,1010101003032,
1010101003032_800,800,JPY,0,0,1010101003032,
1010101003032_810,810,JPY,0,0,1010101003032,
1010101003032_820,820,JPY,0,0,1010101003032,
1010101003032_830,830,JPY,0,0,1010101003032,
1010101003032_840,840,JPY,0,0,1010101003032,
1010101003032_850,850,JPY,0,0,1010101003032,
1010101003032_860,860,JPY,0,0,1010101003032,
1010101003032_870,870,JPY,0,0,1010101003032,
1010101003032_880,880,JPY,0,0,1010101003032,
1010101003032_890,890,JPY,0,0,1010101003032,
1010101003032_900,900,JPY,0,0,1010101003032,
1010101003032_910,910,JPY,0,0,1010101003032,
1010101003032_920,920,JPY,0,0,1010101003032,
1010101003032_930,930,JPY,0,0,1010101003032,
1010101003032_940,940,JPY,0,0,1010101003032,
1010101003032_950,950,JPY,0,0,1010101003032,
1010101003032_960,960,JPY,0,0,1010101003032,
1010101003032_980,980,JPY,0,0,1010101003032,
1010101003032_990,990,JPY,0,0,1010101003032,
