fare_id,route_id,origin_id,destination_id,contains_id
1010101003032_0,10100,3010_1,6941_0,
1010101003032_0,10100,6941_10,3010_10,
1010101003032_0,10156,3010_1,6941_0,
1010101003032_0,10156,6941_10,3010_0,
1000020132284_100,10032,2370_8,2380_8,
1000020132284_100,10032,2370_8,2390_8,
1000020132284_100,10032,2370_8,3240_8,
1000020132284_100,10032,2370_8,3250_8,
1000020132284_100,10032,2370_8,3260_8,
1000020132284_100,10032,2370_8,3270_8,
1000020132284_100,10032,2370_8,3280_8,
1000020132284_100,10032,2370_8,3290_8,
1000020132284_100,10032,2370_8,3300_8,
1000020132284_100,10032,2370_8,3310_8,
1000020132284_100,10032,2370_8,3370_8,
1000020132284_100,10032,2370_8,4000_0,
1000020132284_100,10032,2370_8,4080_8,
1000020132284_100,10032,2370_8,4082_8,
1000020132284_100,10032,2370_8,4090_8,
1000020132284_100,10032,2370_8,4352_8,
1000020132284_100,10032,2370_8,8060_8,
1000020132284_100,10032,2370_8,8061_8,
1000020132284_100,10032,2370_8,8062_8,
1000020132284_100,10032,2370_8,8063_8,
1000020132284_100,10032,2370_8,8064_8,
1000020132284_100,10032,2370_8,8065_9,
1000020132284_100,10032,2370_8,8069_8,
1000020132284_100,10032,2370_8,8069_9,
1000020132284_100,10032,2370_8,8720_9,
1000020132284_100,10032,2370_8,8721_9,
1000020132284_100,10032,2370_9,3200_0,
1000020132284_100,10032,2380_8,2390_8,
1000020132284_100,10032,2380_8,3240_8,
1000020132284_100,10032,2380_8,3250_8,
1000020132284_100,10032,2380_8,3260_8,
1000020132284_100,10032,2380_8,3270_8,
1000020132284_100,10032,2380_8,3280_8,
1000020132284_100,10032,2380_8,3290_8,
1000020132284_100,10032,2380_8,3300_8,
1000020132284_100,10032,2380_8,3310_8,
1000020132284_100,10032,2380_8,3370_8,
1000020132284_100,10032,2380_8,4000_0,
1000020132284_100,10032,2380_8,4080_8,
1000020132284_100,10032,2380_8,4082_8,
1000020132284_100,10032,2380_8,4090_8,
1000020132284_100,10032,2380_8,4352_8,
1000020132284_100,10032,2380_8,8060_8,
1000020132284_100,10032,2380_8,8061_8,
1000020132284_100,10032,2380_8,8062_8,
1000020132284_100,10032,2380_8,8063_8,
1000020132284_100,10032,2380_8,8064_8,
1000020132284_100,10032,2380_8,8065_9,
1000020132284_100,10032,2380_8,8069_8,
1000020132284_100,10032,2380_8,8069_9,
1000020132284_100,10032,2380_8,8720_9,
1000020132284_100,10032,2380_8,8721_9,
1000020132284_100,10032,2380_9,2370_9,
1000020132284_100,10032,2380_9,3200_0,
1000020132284_100,10032,2390_8,3240_8,
1000020132284_100,10032,2390_8,3250_8,
1000020132284_100,10032,2390_8,3260_8,
1000020132284_100,10032,2390_8,3270_8,
1000020132284_100,10032,2390_8,3280_8,
