jp_pattern_id,route_update_date,origin_stop,via_stop,destination_stop
10010_1,20250401,楢原町,神社前経由,京王八王子駅
10010_2,20250401,京王八王子駅,神社前経由,楢原町
10020_1,20250401,川口小学校,楢原町経由,京王八王子駅
10020_2,20250401,京王八王子駅,楢原町経由,川口小学校
10030_1,20250401,川口小学校,ﾚｰﾝ内急行,京王八王子駅
10040_1,20250401,川口小学校,楢原町経由（深夜ﾊﾞｽ）,京王八王子駅
10040_2,20250401,京王八王子駅,楢原町経由（深夜ﾊﾞｽ）,川口小学校
10050_1,20250401,上川霊園,楢原町経由,京王八王子駅
10050_2,20250401,京王八王子駅,楢原町経由,上川霊園
10060_1,20250401,楢原町,工学院大学西経由,京王八王子駅
10060_2,20250401,京王八王子駅,工学院大学西経由,楢原町
10070_1,20250401,工学院大学,西中野2丁目経由,京王八王子駅
10080_2,20250401,八王子駅北口,直通（休校日運休）,工学院大学
10081_1,20250401,工学院大学,直通（休校日運休）,京王八王子駅
10110_1,20250401,創価大学創大門,八日町経由,京王八王子駅
10110_8,20250401,京王八王子駅,八日町経由,京王八王子駅
10111_8,20250401,京王八王子駅,八日町経由,京王八王子駅
10120_1,20250401,創価大学創大門,ひよどり山ﾄﾝﾈﾙ経由,京王八王子駅
10120_8,20250401,京王八王子駅,ひよどり山ﾄﾝﾈﾙ経由,京王八王子駅
10121_8,20250401,京王八王子駅,ひよどり山ﾄﾝﾈﾙ経由,京王八王子駅
10130_1,20250401,戸吹,ひよどり山ﾄﾝﾈﾙ経由,京王八王子駅
10130_2,20250401,京王八王子駅,ひよどり山ﾄﾝﾈﾙ経由,戸吹
10131_1,20250401,戸吹スポーツ公園入口,ひよどり山ﾄﾝﾈﾙ経由,京王八王子駅
10131_2,20250401,京王八王子駅,ひよどり山ﾄﾝﾈﾙ経由,戸吹スポーツ公園入口
10140_1,20250401,サマーランド,ひよどり山ﾄﾝﾈﾙ経由,京王八王子駅
10140_2,20250401,京王八王子駅,ひよどり山ﾄﾝﾈﾙ経由,サマーランド
10160_1,20250401,みつい台,八日町経由,京王八王子駅
10160_2,20250401,京王八王子駅,八日町経由,みつい台
10170_1,20250401,みつい台,いちょうﾎｰﾙ前経由,京王八王子駅
10170_2,20250401,京王八王子駅,いちょうﾎｰﾙ前経由,みつい台
10180_1,20250401,中野団地,八王子郵便局経由,京王八王子駅
10180_2,20250401,京王八王子駅,八王子郵便局経由,中野団地
10181_2,20250401,京王八王子駅,八王子郵便局経由（深夜ﾊﾞｽ）,中野団地
10190_1,20250401,中野団地,急行,京王八王子駅
10200_1,20250401,創価大学正門東京富士美術館,直通,八王子駅北口
10200_2,20250401,八王子駅北口,直通,創価大学正門東京富士美術館
10210_1,20250401,創価大学正門東京富士美術館,ひよどり山ﾄﾝﾈﾙ経由,京王八王子駅
10210_2,20250401,京王八王子駅,ひよどり山ﾄﾝﾈﾙ経由,創価大学正門東京富士美術館
10211_2,20250401,京王八王子駅,ひよどり山ﾄﾝﾈﾙ経由,創価大学正門東京富士美術館
10220_1,20250401,創価大学正門東京富士美術館,八日町経由,京王八王子駅
10220_2,20250401,京王八王子駅,八日町経由,創価大学正門東京富士美術館
10230_8,20250401,八王子駅北口,急行,創価大学栄光門
10231_1,20250401,拝島駅,啓明学園・拝島橋経由,京王八王子駅
10231_2,20250401,京王八王子駅,ひよどり山ﾄﾝﾈﾙ経由,拝島駅
10250_1,20250401,純心女子学園,急行（休校日運休）,京王八王子駅
10250_2,20250401,京王八王子駅,急行（休校日運休）,純心女子学園
