stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
10,,京王八王子駅,,35.657843,139.343390,,,1,,,,
100,,石川町会館前,,35.681517,139.365247,,,1,,,,
1000,,二分方入口,,35.677657,139.285589,,,1,,,,
1010,,神戸,,35.679414,139.281451,,,1,,,,
1012,,神戸会館入口,,35.680415,139.279056,,,1,,,,
1020,,切通し,,35.681762,139.276709,,,1,,,,
1030,,宝生寺団地入口,,35.680746,139.273745,,,1,,,,
1040,,陵北大橋,,35.683212,139.270182,,,1,,,,
1050,,宝生寺団地,,35.684958,139.266792,,,1,,,,
1051,,団地西,,35.687519,139.264863,,,1,,,,
1052,,自治会館前,,35.688111,139.266165,,,1,,,,
1053,,団地東,,35.688563,139.269481,,,1,,,,
1054,,団地南,,35.685550,139.268472,,,1,,,,
1070,,小田野,,35.678876,139.271300,,,1,,,,
1080,,中小田野,,35.675897,139.268123,,,1,,,,
1081,,小田野中央公園,,35.674617,139.266280,,,1,,,,
1090,,上小田野,,35.673033,139.263973,,,1,,,,
1095,,川原宿大橋,,35.671820,139.260255,,,1,,,,
110,,石川宮下,,35.681077,139.362075,,,1,,,,
1100,,川原宿,,35.671959,139.258829,,,1,,,,
1110,,上川原宿,,35.670288,139.257217,,,1,,,,
1120,,恩方上宿,,35.674025,139.257974,,,1,,,,
1130,,恩方営業所,,35.676868,139.257231,,,1,,,,
1140,,松竹,,35.668680,139.253132,,,1,,,,
1150,,恩方事務所,,35.667298,139.249567,,,1,,,,
1160,,大久保,,35.666611,139.247216,,,1,,,,
1170,,恩方中学校,,35.669073,139.242323,,,1,,,,
1180,,佐戸,,35.667549,139.237079,,,1,,,,
1190,,駒木野,,35.668683,139.234007,,,1,,,,
120,,石川,,35.680973,139.357824,,,1,,,,
1200,,黒沼田,,35.671821,139.230811,,,1,,,,
1210,,狐塚,,35.671853,139.227704,,,1,,,,
1220,,力石,,35.674327,139.221022,,,1,,,,
1230,,宮の下,,35.671349,139.216852,,,1,,,,
1240,,夕焼小焼,,35.670300,139.214386,,,1,,,,
1250,,関場,,35.671220,139.211357,,,1,,,,
1260,,下川井野,,35.670021,139.207010,,,1,,,,
1270,,川井野,,35.668305,139.202742,,,1,,,,
1280,,くぬぎ沢橋,,35.667310,139.193600,,,1,,,,
1290,,下案下,,35.665643,139.193018,,,1,,,,
130,,宇津木台南,,35.685948,139.358424,,,1,,,,
1300,,陣馬高原下,,35.663627,139.189441,,,1,,,,
1301,,中央道八王子バス停下,,35.664889,139.297112,,,1,,,,
1302,,舟田,,35.659301,139.299529,,,1,,,,
1303,,富士森高校,,35.657725,139.302334,,,1,,,,
1304,,桑志高校,,35.655617,139.306477,,,1,,,,
1305,,中央図書館前,,35.657025,139.310714,,,1,,,,
1307,,千人町１丁目,,35.659723,139.315965,,,1,,,,
1310,,タウン入口,,35.668391,139.265438,,,1,,,,
1320,,タウン中央,,35.670191,139.269211,,,1,,,,
1330,,タウン東,,35.671913,139.273453,,,1,,,,
1340,,グリーンタウン高尾,,35.672704,139.274857,,,1,,,,
1341,,高尾の森わくわくビレッジ,,35.672892,139.276050,,,1,,,,
1350,,霊園正門,,35.659911,139.269258,,,1,,,,
1360,,霊園前・八王子城跡入口,,35.656515,139.273934,,,1,,,,
1363,,八王子城跡,,35.656076,139.262089,,,1,,,,
140,,宇津木台中央,,35.688732,139.358650,,,1,,,,
1410,,宮の前,,35.654627,139.275517,,,1,,,,
1420,,鍛冶屋敷,,35.656814,139.280204,,,1,,,,
1430,,元八２丁目,,35.659957,139.282789,,,1,,,,
1440,,元八２丁目北,,35.662858,139.281992,,,1,,,,
1450,,ホーメストタウン,,35.663062,139.278164,,,1,,,,
1451,,ホーメストタウン北,,35.665229,139.274494,,,1,,,,
1452,,けやき公園前,,35.664059,139.272382,,,1,,,,
1453,,熊野神社前,,35.645255,139.285945,,,1,,,,
1454,,浅川原,,35.645937,139.287986,,,1,,,,
1455,,御陵前,,35.647335,139.292305,,,1,,,,
1457,,城山手,,35.656211,139.284449,,,1,,,,
1458,,中央公園,,35.664998,139.275949,,,1,,,,
1459,,とちのき公園,,35.662862,139.274749,,,1,,,,
1460,,石神坂,,35.662848,139.284835,,,1,,,,
1470,,元八１丁目,,35.665621,139.288771,,,1,,,,
1480,,慈根寺,,35.669291,139.292543,,,1,,,,
1490,,元八事務所,,35.671560,139.293273,,,1,,,,
1500,,霞ヶ丘住宅,,35.651937,139.276902,,,1,,,,
1505,,ｺﾝｾｰﾙ住宅,,35.653577,139.273285,,,1,,,,
1510,,高尾台中央,,35.651419,139.269138,,,1,,,,
1520,,高尾台住宅,,35.647763,139.266699,,,1,,,,
1530,,高尾駅北口,,35.642826,139.281758,,,1,,,,
1531,,森林科学園,,35.646008,139.280299,,,1,,,,
1532,,八王子霊園南門,,35.657697,139.268321,,,1,,,,
1540,,高尾駅南口,,35.641519,139.283706,,,1,,,,
1550,,元木,,35.679755,139.267869,,,1,,,,
1560,,上野原,,35.679436,139.262309,,,1,,,,
1570,,縄切,,35.682597,139.258883,,,1,,,,
1580,,萩園,,35.684630,139.254993,,,1,,,,
1590,,御屋敷入口,,35.686270,139.252910,,,1,,,,
1595,,馬込松木,,35.688568,139.251249,,,1,,,,
160,,平町,,35.689898,139.355695,,,1,,,,
1600,,美山小学校,,35.689864,139.249010,,,1,,,,
1610,,小足,,35.693274,139.242786,,,1,,,,
1620,,美山工業団地,,35.695457,139.240281,,,1,,,,
1630,,仲井,,35.698399,139.238300,,,1,,,,
1640,,二本杉,,35.700420,139.234938,,,1,,,,
1650,,美山町,,35.703018,139.230279,,,1,,,,
1660,,恩方ターミナル,,35.679732,139.259067,,,1,,,,
1681,,小津自由乗降,,35.678018,139.254287,,,1,,,,
170,,宇津木台,,35.689421,139.352865,,,1,,,,
1710,,小津町,,35.678558,139.232440,,,1,,,,
1720,,東楢原,,35.675921,139.313193,,,1,,,,
1740,,丹木１丁目,,35.693980,139.331385,,,1,,,,
1750,,丹木２丁目,,35.695415,139.328958,,,1,,,,
1760,,滝山城址下,,35.697352,139.325108,,,1,,,,
