table_name,field_name,language,translation,record_id,record_sub_id,field_value
stops,stop_name,ja,3号公園下,,,3号公園下
stops,stop_name,en,sagokouennshita,,,3号公園下
stops,stop_name,ja-Hrkt,さんごうこうえんした,,,3号公園下
stops,stop_name,ja,4号公園下,,,4号公園下
stops,stop_name,en,yongokoennshita,,,4号公園下
stops,stop_name,ja-Hrkt,よんごうこうえんした,,,4号公園下
stops,stop_name,ja,GLPスタンド,,,GLPスタンド
stops,stop_name,ja-Hrkt,じーえるぴーすたんど,,,GLPスタンド
stops,stop_name,ja,GLP第一停留所,,,GLP第一停留所
stops,stop_name,en,GLP1,,,GLP第一停留所
stops,stop_name,ja-Hrkt,じーえるぴーだいいちていりゅうじょ,,,GLP第一停留所
stops,stop_name,ja,GLP第二停留所,,,GLP第二停留所
stops,stop_name,en,GLP2,,,GLP第二停留所
stops,stop_name,ja-Hrkt,じーえるぴーだいにていりゅうじょ,,,GLP第二停留所
stops,stop_name,ja,GLP駐車場,,,GLP駐車場
stops,stop_name,en,GLP　parking,,,GLP駐車場
stops,stop_name,ja-Hrkt,じーえるぴーちゅうしゃじょう,,,GLP駐車場
stops,stop_name,ja,JR片倉駅,,,JR片倉駅
stops,stop_name,en,JR　Katakura Sta．,,,JR片倉駅
stops,stop_name,ja-Hrkt,ＪＲかたくらえき,,,JR片倉駅
stops,stop_name,ja,NEC団地北,,,NEC団地北
stops,stop_name,en,NEC-dannchi Kita,,,NEC団地北
stops,stop_name,ja-Hrkt,えぬいーしーだんちきた,,,NEC団地北
stops,stop_name,ja,NEC団地東,,,NEC団地東
stops,stop_name,en,NEC-dannchi Higashi,,,NEC団地東
stops,stop_name,ja-Hrkt,えぬいーしーだんちひがし,,,NEC団地東
stops,stop_name,ja,あきる野保健相談所,,,あきる野保健相談所
stops,stop_name,en,Akiruno Health Clinic,,,あきる野保健相談所
stops,stop_name,ja-Hrkt,あきるのほけんそうだんじょ,,,あきる野保健相談所
stops,stop_name,ja,あきる野市役所,,,あきる野市役所
stops,stop_name,en,Akiruno City Hall,,,あきる野市役所
stops,stop_name,ja-Hrkt,あきるのしやくしょ,,,あきる野市役所
stops,stop_name,ja,あきる野市役所秋川庁舎,,,あきる野市役所秋川庁舎
stops,stop_name,en,Akiruno City Hall,,,あきる野市役所秋川庁舎
stops,stop_name,ja-Hrkt,あきるのしやくしょあきがわちょうしゃ,,,あきる野市役所秋川庁舎
stops,stop_name,ja,あきる野市民球場,,,あきる野市民球場
stops,stop_name,en,Akiruno City Stadium,,,あきる野市民球場
stops,stop_name,ja-Hrkt,あきるのしみんきゅうじょう,,,あきる野市民球場
stops,stop_name,ja,あげば,,,あげば
stops,stop_name,en,Ageba,,,あげば
stops,stop_name,ja-Hrkt,あげば,,,あげば
stops,stop_name,ja,あさひ公園,,,あさひ公園
stops,stop_name,en,Asahi Ｐark,,,あさひ公園
stops,stop_name,ja-Hrkt,あさひこうえん,,,あさひ公園
stops,stop_name,ja,あずまい,,,あずまい
stops,stop_name,en,Azumai,,,あずまい
